Song Title,Artist,Creator,Circle Size,Total Notes,Average Interval,Minimum Interval,Maximum Interval,2 Chord,3 Chord,4 Chord,1 Note on Drag,2 Note on Drag,3 Note on Drag,Drag on 1 Drag,Drag on 2 Drag,Drag on 3 Drag,NPM,Difficulty
eternal reality - TV size -,fripSide,17VA,4,611,210.0456852791878,68,827,193,188,14,520,35,18,519,34,17,438.52723749371995,2.51
eternal reality - TV size -,fripSide,17VA,4,143,614.4166666666666,207,3311,123,10,0,41,0,0,21,0,0,104.70693042724821,0.98
Kamui,TJ.Hangneil,xxbidiao,4,716,196.03087478559178,71,2357,453,130,1,167,8,1,24,5,1,367.63195728075584,2.71
Kamui,TJ.Hangneil,xxbidiao,4,1351,115.90872210953347,23,2357,648,315,23,408,43,16,59,14,12,693.6742657629904,4.91
Kamui,TJ.Hangneil,xxbidiao,4,372,336.13529411764705,71,7000,310,31,0,31,6,0,16,6,0,191.00431300061615,1.73
The Island (MaxNRG Remix),Pendulum,Skalim,4,921,343.58922155688623,172,2242,752,83,1,231,3,0,111,3,0,190.77868498731252,1.57
Kimi ga Yume wo Tsuretekita (TV Size),Pet na Kanojotachi,victorica_db,4,758,199.9476082004556,55,445,208,148,82,253,46,0,63,14,0,515.3307498810252,2.88
Kimi ga Yume wo Tsuretekita (TV Size),Pet na Kanojotachi,victorica_db,4,330,351.108,222,1333,172,79,0,15,0,0,7,0,0,224.35243728329596,1.48
Phantasmagoria,Falcom Sound Team J.D.K.,richardfeder,4,359,373.7638888888889,193,1600,219,70,0,38,1,0,15,1,0,198.61687413554634,1.66
Phantasmagoria,Falcom Sound Team J.D.K.,richardfeder,4,897,178.72682119205297,96,1600,372,178,51,401,22,4,48,12,4,496.23353033921273,3.79
Gohan wa Okazu,HTT,YunoFanatic,4,775,293.99197431781704,105,1264,476,145,3,86,3,0,42,3,0,253.23211309945216,1.67
I'm so Happy,Ryu*,Spy,4,562,224.73849878934624,82,2320,266,148,0,123,21,1,43,13,1,361.33733390484355,2.47
I'm so Happy,Ryu*,Spy,4,968,155.73322147651007,41,2320,336,154,104,250,2,0,62,1,0,622.0746532426498,3.6
I'm so Happy,Ryu*,Spy,4,301,478.4381443298969,165,2320,89,106,0,63,12,0,33,12,0,193.57950586848168,1.62
I'm so Happy,Ryu*,Spy,4,871,154.95325542570953,41,2320,354,221,25,199,0,0,37,0,0,560.0085726532362,3.65
Hades in the Heaven,Gentle Stick X M2U,AngelHoney,4,490,229.3517382413088,115,923,490,0,0,1,0,0,1,0,0,234.08761565042917,5.27
Hades in the Heaven,Gentle Stick X M2U,AngelHoney,4,470,240.11727078891258,115,1846,470,0,0,5,0,0,5,0,0,223.71009709970173,4.89
Hades in the Heaven,Gentle Stick X M2U,AngelHoney,4,372,299.81401617250674,77,14769,372,0,0,4,0,0,4,0,0,177.0641619597639,5.25
